Tool,Severity,Code,Description,Location,Line
CodeQL,warning,java/class-name-matches-super-class,ExpressionEvaluator has the same name as its supertype [javax.servlet.jsp.el.ExpressionEvaluator](1).,src/main/java/org/owasp/benchmark/helpers/ExpressionEvaluator.java,27
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,66
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00015.java,68
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00017.java,63
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00077.java,98
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00093.java,87
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00159.java,67
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00171.java,82
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00176.java,64
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00293.java,76
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00294.java,72
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00295.java,72
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00302.java,69
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00303.java,83
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00304.java,88
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00307.java,75
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00310.java,85
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00407.java,81
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00409.java,90
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00480.java,71
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00494.java,83
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00499.java,62
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00500.java,68
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00558.java,84
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00567.java,78
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00568.java,87
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00575.java,83
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00576.java,75
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00657.java,65
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00659.java,80
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00731.java,62
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00732.java,68
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00741.java,70
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00742.java,67
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00815.java,86
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00816.java,91
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00824.java,100
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00968.java,79
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00979.java,90
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00981.java,90
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01064.java,62
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01182.java,67
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01194.java,65
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01270.java,60
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01285.java,57
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01286.java,69
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01289.java,58
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01353.java,66
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01360.java,61
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01362.java,75
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01430.java,74
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01441.java,83
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01446.java,73
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01517.java,62
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01528.java,59
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01530.java,73
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01600.java,64
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01601.java,62
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01607.java,71
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01609.java,61
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01610.java,61
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01673.java,84
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01674.java,84
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01685.java,95
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01689.java,82
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01850.java,79
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01851.java,79
CodeQL,warning,java/command-line-injection,This command line depends on a [user-provided value](1).,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01852.java,79
